MOLECULE_DESC,MAT FEB'24,MAT FEB'26,QTY MAT FEB'26,CAGR,Market Share
CHLORTALIDONE + CILNIDIPINE,15.6,18.6,16898,0.09192842819833769,0.0008007370224636871
CHLORTALIDONE + CILNIDIPINE + METOPROLOL SUCCINATE,2.6,2.7,1851,0.01904933073013626,0.00011623601938989006
CHLORTALIDONE + CILNIDIPINE + OLMESARTAN MEDOXOMIL,68.3,74.7,45021,0.04580315833030735,0.0032158632031202916
CHLORTALIDONE + CILNIDIPINE + TELMISARTAN,167.70000000000002,249.2,190294,0.2190106157600591,0.010728154085911334
CHLORTALIDONE + EFONIDIPINE HYDROCHLORIDE,0.1,0.1,44,0.0,4.3050377551811136e-06
CHLORTALIDONE + LOSARTAN POTASSIUM SALT,5.1,4.7,5064,-0.04001634000834131,0.00020233677449351233
CHLORTALIDONE + METOPROLOL SUCCINATE,21.2,25.3,24409,0.09242676020641971,0.0010891745520608216
CHLORTALIDONE + METOPROLOL SUCCINATE + TELMISARTAN,40.400000000000006,62.1,52673,0.23980995030338703,0.0026734284459674715
CHLORTALIDONE + METOPROLOL TARTRATE,1.5,1.9,1894,0.12546286774227555,8.179571734844114e-05
CHLORTALIDONE + METOPROLOL TARTRATE + TELMISARTAN,12.3,26.8,23258,0.47609680868765714,0.0011537501183885384
CHLORTALIDONE + NEBIVOLOL HYDROCHLORIDE,0.0,0.0,12,0.0,0.0
CHLORTALIDONE + OLMESARTAN MEDOXOMIL,92.4,89.3,56670,-0.016918001156456808,0.003844398715376734
CHLORTALIDONE + RAMIPRIL,0.0,0.0,1,0.0,0.0
CHLORTALIDONE + S-METOPROLOL SUCCINATE,0.0,0.0,2,0.0,0.0
CHLORTALIDONE + TELMISARTAN,522.7,639.5,573522,0.10609906282834602,0.027530716444383218
CHLORTALIDONE SODIUM SALT + CILNIDIPINE + TELMISARTAN,0.8,1.2,1114,0.22474487139158894,5.166045306217336e-05
CHLORTALIDONE SODIUM SALT + METOPROLOL SUCCINATE + TELMISARTAN,24.0,31.7,26073,0.14927513387062086,0.0013646969683924128
CHLORTALIDONE SODIUM SALT + METOPROLOL TARTRATE + TELMISARTAN,2.7,6.4,6193,0.5396007178390021,0.00027552241633159127
CHLORTALIDONE SODIUM SALT + TELMISARTAN,0.0,0.0,14,0.0,0.0
CHOLINE FENOFIBRATE + ROSUVASTATIN CALCIUM SALT,4.0,4.3,1943,0.03682206766638596,0.00018511662347278786
CILNIDIPINE,715.6,975.6,1038103,0.16761786132922163,0.04199994833954694
CILNIDIPINE + METOPROLOL FUMARATE + TELMISARTAN,0.0,0.7,777,0.0,3.013526428626779e-05
CILNIDIPINE + METOPROLOL SUCCINATE,64.8,84.6,72804,0.1426091000668408,0.0036420619408832214
CILNIDIPINE + METOPROLOL SUCCINATE + TELMISARTAN,94.2,160.6,139954,0.3057117703292027,0.0069138906348208675
CILNIDIPINE + METOPROLOL TARTRATE,29.2,38.4,37511,0.14676435816199174,0.0016531344979895475
CILNIDIPINE + METOPROLOL TARTRATE + TELMISARTAN,38.3,70.7,64215,0.3586585305406824,0.0030436616929130473
CILNIDIPINE + NEBIVOLOL HYDROCHLORIDE,45.9,56.6,42648,0.11045732399295116,0.00243665136943251
CILNIDIPINE + OLMESARTAN MEDOXOMIL,21.3,23.0,16176,0.03914012845851067,0.0009901586836916561
CILNIDIPINE + TELMISARTAN,473.40000000000003,758.8,662882,0.2660461424497915,0.032666626486314285
CISSUS QUADRANGULARIS + OCIMUM GRATISSIMUM + PHYLLANTHUS EMBLICA + TERMINALIA ARJUNA EXTRACT,0.0,0.0,4,0.0,0.0
CLONIDINE + HYDROCHLOROTHIAZIDE,0.8,1.1,4873,0.17260393995585743,4.735541530699225e-05
CLONIDINE HYDROCHLORIDE,60.0,92.3,395661,0.24029566367593702,0.003973549848032168
CLOPIDOGREL + ROSUVASTATIN CALCIUM SALT,72.3,96.39999999999999,46100,0.15470053837925146,0.004150056395994593
CLOPIDOGREL BISULFATE + ROSUVASTATIN CALCIUM SALT,224.8,322.9,221490,0.1984940134835349,0.013900966911479814
CLOPIDOGREL BISULFATE + ROSUVASTATIN CALCIUM SALT + SALICYLIC ACID,0.0,0.0,5,0.0,0.0
COLECALCIFEROL + LEVOMEFOLIC ACID + MECOBALAMIN + PYRIDOXAL 5-PHOSPHATE + ROSUVASTATIN CALCIUM SALT,1.7,0.4,227,-0.5149287499273341,1.7220151020724454e-05
COLECALCIFEROL + LEVOMEFOLIC ACID CALCIUM SALT + MECOBALAMIN + PYRIDOXAL 5-PHOSPHATE + ROSUVASTATIN CALCIUM SALT,0.3,0.9,483,0.7320508075688772,3.874533979663002e-05
COLECALCIFEROL + ROSUVASTATIN CALCIUM SALT,7.9,5.7,3664,-0.150577262288222,0.00024538715204532345
COLESTYRAMINE,5.2,8.7,6440,0.2934747477538644,0.00037453828470075684
COMMIPHORA MOLMOL + HIPPOPHAE RHAMNOIDES + INULA RACEMOSA + TERMINALIA ARJUNA,0.0,0.0,10,0.0,0.0
COMMIPHORA MOLMOL + INULA RACEMOSA + TERMINALIA ARJUNA,1.0,1.2,1539,0.09544511501033215,5.166045306217336e-05
COMMIPHORA WIGHTII,1.0,1.5,3337,0.22474487139158894,6.45755663277167e-05
COMMIPHORA WIGHTII + GARCINIA CAMBOGIA,0.4,0.7,1434,0.32287565553229514,3.013526428626779e-05
COMMIPHORA WIGHTII + GARCINIA INDICA + TERMINALIA CHEBULA,0.0,0.0,2,0.0,0.0
DIAZEPAM + PROPRANOLOL HYDROCHLORIDE,1.5,1.1,2834,-0.1436511614223247,4.735541530699225e-05
DIHYDRALAZINE SULFATE,11.9,18.8,23718,0.2569136536664358,0.0008093470979740493
DIHYDRALAZINE SULFATE + HYDROCHLOROTHIAZIDE + RESERPINE,0.0,0.0,2,0.0,0.0
DILTIAZEM HYDROCHLORIDE,126.60000000000001,147.7,190706,0.08012344973464325,0.006358540764402503
DOCONEXENT + ICOSAPENT + PHYTOSTEROLS (UNSPECIFIED),0.0,0.0,0,0.0,0.0
DOXAZOSIN MESILATE,0.0,0.0,0,0.0,0.0
EFONIDIPINE HYDROCHLORIDE,14.5,14.6,14225,0.0034423509719618828,0.0006285355122564425
EFONIDIPINE HYDROCHLORIDE + METOPROLOL SUCCINATE,1.2,1.7,1020,0.19023807142380833,7.318564183807893e-05
EFONIDIPINE HYDROCHLORIDE + TELMISARTAN,2.6,3.6,3123,0.17669681082910427,0.00015498135918652007
ENALAPRIL MALEATE,52.800000000000004,42.6,163624,-0.10176941611956802,0.0018339460837071542
ENALAPRIL MALEATE + HYDROCHLOROTHIAZIDE,5.8,5.5,6382,-0.026205431279797353,0.00023677707653496123
ENALAPRIL MALEATE + LOSARTAN POTASSIUM SALT,0.0,0.0,14,0.0,0.0
EVOLOCUMAB RECOMBINANT,9.7,12.1,7,0.11688078164698101,0.0005209095683769147
EZETIMIBE,28.599999999999998,52.9,33097,0.3600185107748901,0.002277364972490809
EZETIMIBE + ROSUVASTATIN CALCIUM SALT,49.9,183.1,80772,0.9155517944850016,0.007882524129736617
EZETIMIBE + SIMVASTATIN,0.0,0.0,0,0.0,0.0
FELODIPINE,0.0,0.0,0,0.0,0.0
FENOFIBRATE,75.7,97.0,57322,0.1319778461266512,0.00417588662252568
FENOFIBRATE + ROSUVASTATIN CALCIUM SALT,470.5,642.7,321112,0.16875729893099,0.027668477652549015
FENOFIBRIC ACID,10.7,14.3,9166,0.15604870058784348,0.0006156203989908992
FIMASARTAN,0.0,0.0,0,0.0,0.0
FLUVASTATIN SODIUM SALT,0.0,0.0,0,0.0,0.0
FUROSEMIDE + POTASSIUM CHLORIDE,0.7,0.5,847,-0.15484574527148343,2.1525188775905567e-05
GARCINIA CAMBOGIA,0.0,0.0,39,0.0,0.0
GEMFIBROZIL,3.4,2.9,1209,-0.07645185481720107,0.00012484609490025228
HYDRALAZINE HYDROCHLORIDE,0.0,0.4,7,0.0,1.7220151020724454e-05
HYDRALAZINE HYDROCHLORIDE + ISOSORBIDE DINITRATE,46.199999999999996,69.5,66518,0.22651090673055352,0.0029920012398508737
HYDROCHLOROTHIAZIDE + IRBESARTAN,0.1,0.0,13,-1.0,0.0
HYDROCHLOROTHIAZIDE + LEVAMLODIPINE BESILATE,14.2,13.3,16366,-0.03220884571625726,0.0005725700214390881
HYDROCHLOROTHIAZIDE + LEVAMLODIPINE BESILATE + LOSARTAN POTASSIUM SALT,0.0,0.0,13,0.0,0.0
HYDROCHLOROTHIAZIDE + LEVAMLODIPINE BESILATE + OLMESARTAN MEDOXOMIL,1.0,0.9,593,-0.05131670194948623,3.874533979663002e-05
HYDROCHLOROTHIAZIDE + LISINOPRIL,1.3,1.1,1082,-0.08013378899220014,4.735541530699225e-05
HYDROCHLOROTHIAZIDE + LOSARTAN,2.6,2.3,4705,-0.05946005687403977,9.90158683691656e-05
HYDROCHLOROTHIAZIDE + LOSARTAN POTASSIUM SALT,211.7,200.29999999999998,210894,-0.027297469641951455,0.00862299062362777
HYDROCHLOROTHIAZIDE + LOSARTAN POTASSIUM SALT + RAMIPRIL,0.0,0.0,19,0.0,0.0
HYDROCHLOROTHIAZIDE + METOPROLOL SUCCINATE,12.4,12.3,13154,-0.0040404205636818125,0.0005295196438872769
HYDROCHLOROTHIAZIDE + METOPROLOL TARTRATE,0.2,0.2,198,0.0,8.610075510362227e-06
HYDROCHLOROTHIAZIDE + MOXONIDINE,0.0,0.0,0,0.0,0.0
HYDROCHLOROTHIAZIDE + NEBIVOLOL HYDROCHLORIDE,26.5,28.4,21053,0.0352285318747485,0.0012226307224714361
HYDROCHLOROTHIAZIDE + OLMESARTAN MEDOXOMIL,139.1,137.70000000000002,97366,-0.005045077228865824,0.005928036988884394
HYDROCHLOROTHIAZIDE + QUINAPRIL HYDROCHLORIDE,0.0,0.0,0,0.0,0.0
HYDROCHLOROTHIAZIDE + RAMIPRIL,36.0,29.7,18849,-0.09170489377075253,0.0012785962132887906
HYDROCHLOROTHIAZIDE + S-METOPROLOL SUCCINATE,6.9,7.2,4751,0.0215078369104984,0.00030996271837304014
HYDROCHLOROTHIAZIDE + TELMISARTAN,881.5,1062.3,1007350,0.09777271544262645,0.04573241607328896
HYDROCHLOROTHIAZIDE + VALSARTAN,6.3999999999999995,6.3,2621,-0.007843258350778481,0.0002712173785764101
HYDROFLUMETHIAZIDE + SPIRONOLACTONE,0.0,0.0,0,0.0,0.0
INCLISIRAN SODIUM SALT,2.3,60.2,10,4.11604466785409,0.00259163272861903
INDAPAMIDE + NEBIVOLOL HYDROCHLORIDE,2.3,2.2,1150,-0.021980706156348395,9.47108306139845e-05
